PROTEINA	PROTEINB
HOM3	FPR1
HOP1	RED1
HRB1	MTR10
HRP1	RNA14
HRP1	RNA15
HSE1	VPS27
HSL1	CDH1
	
HSL7	SWI1
HSL7	HSL1
HSL7	SWE1
HSP60	HSP10
HTA1	NAP1
HTB1	HTA1
HYM1	KIC1
HYS2	CDC2
IDH1	IDH2
IME1	RIM11
IMP3	MPP10
IRR1	SMC3
ISU1	NFS1
JNM1	NIP100
KAP104	NUP1
KAP104	NUP49
KAP104	NUP42
KAP104	NAB2
KAP104	NUP57
KAP122	TOA1
KAP122	NUP1
KAP122	NUP2
KAP122	TOA2
KAP123	YAP1
KAP123	GSP1
KAP95	NUP1
KAP95	NUP116
KAP95	SRP1
KAR2	SEC63
KAR3	CIK1
KAR9	STU2
KAR9	BIM1
KCC4	NAP1
KEL2	KEL1
KEM1	DCP1
KEM1	LSM1
KEM1	LSM3
KEM1	LSM7
KGD2	KGD1
KGD2	YMR31
KGD2	LPD1
KIC1	SOG2
KIC1	CDC31
KIC1	HSC82
KIN28	CCL1
KIN28	RPB2
KIN28	RPO21
KIN28	RAD3
KRE11	BET3
KRE11	TRS31
KRE11	TRS23
KRE11	GSG1
KRE11	TRS120
KSS1	DIG1
KSS1	STE5
KSS1	STE11
LAP4	CVT19
LHP1	SXM1
LIF1	DNL4
LPD1	KGD1
LSC2	LSC1
LSM1	DCP1
LSM1	LSM7
LSM1	LSM3
LSM2	DCP1
LSM2	LSM7
LSM2	LSM8
LSM2	KEM1
LSM2	LSM4
LSM2	PAT1
LSM2	DHH1
LSM2	LSM6
LSM2	LSM5
LSM2	LSM1
LSM2	LSM3
LSM3	DCP1
LSM3	LSM7
LSM4	DCP1
LSM4	LSM5
LSM4	LSM7
LSM4	LSM8
LSM4	LSM1
LSM4	KEM1
LSM4	LSM3
LSM5	DCP1
LSM5	KEM1
LSM5	LSM7
LSM5	LSM3
LSM5	LSM1
LSM5	LSM8
LSM6	DCP1
LSM6	LSM4
	
LSM6	LSM5
LSM6	LSM7
LSM6	LSM8
LSM6	LSM1
LSM6	KEM1
LSM6	LSM3
LSM7	DCP1
LSM8	HSH49
LSM8	LSM3
LSM8	LSM7
LUV1	VPS53
LUV1	SAC2
LYS2	LYS5
MAK10	MAK3
MAM33	CYB2
MAS2	MAS1
MBP1	SWI6
MCD1	SMC3
MCD1	SMC1
MCM2	DNA43
MCM2	DBF4
MCM2	CDC7
MCM3	CDC46
MCM3	CDC47
MCM6	CDC46
MCM6	DNA43
MDJ1	SSC1
MDS3	SPC24
MEC1	LCD1
MEC3	DDC1
MEC3	RAD17
MED11	MED7
MED2	NUT2
MED2	MED7
MED2	SIN4
MED2	RGR1
MED2	SRB4
MED2	NUT1
MED2	PGD1
MED2	SRB5
MED2	SRB2
MED2	MED6
MED2	RPB3
MED2	MED11
MED2	CSE2
MED2	GAL11
MED2	MED4
MED4	MED8
MED6	MED7
MED7	MED4
MED7	PGD1
MED8	MED7
MED8	SRB5
MED8	MED2
MED8	SRB6
MED8	SRB4
